+-----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------+
|     |   client_latency_ms |   configured_batch_size |   mean_batch_size |   mean_throughput_qps | model_name   |   num_cpus_per_replica |   num_gpus_per_replica |   p99_latency_ms |   std_throughput_qps |
|-----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------|
|   0 |            7609.32  |                       1 |           1       |               626.494 | elastic-net  |                      1 |                      0 |          2.27415 |              112.763 |
|   1 |            3397.67  |                       2 |           1.99976 |              1236.26  | elastic-net  |                      1 |                      0 |          1.91003 |              235.922 |
|   2 |             905.949 |                       4 |           3.99361 |              2395.19  | elastic-net  |                      1 |                      0 |          2.00685 |              890.57  |
|   3 |             831.243 |                       8 |           4.77783 |              3251.16  | elastic-net  |                      1 |                      0 |          2.9503  |             2476.2   |
|   4 |             925.17  |                      16 |           4.93097 |              3951.12  | elastic-net  |                      1 |                      0 |          2.66881 |             4344.92  |
|   5 |             851.25  |                      32 |           4.81    |              3583.23  | elastic-net  |                      1 |                      0 |          2.6918  |             3656.48  |
|   6 |            7612.81  |                       1 |           1       |               632.388 | elastic-net  |                      2 |                      0 |          2.33903 |              201.057 |
|   7 |            3614.01  |                       2 |           2       |              1183.83  | elastic-net  |                      2 |                      0 |          2.56206 |              199.668 |
|   8 |             994.427 |                       4 |           3.83436 |              2069.28  | elastic-net  |                      2 |                      0 |          2.62375 |              406.957 |
|   9 |             937.309 |                       8 |           4.69484 |              3491.49  | elastic-net  |                      2 |                      0 |          2.219   |             3761.67  |
|  10 |             962.449 |                      16 |           4.65766 |              3407.96  | elastic-net  |                      2 |                      0 |          2.47108 |             3698.14  |
|  11 |            1319.14  |                      32 |           5.03778 |              3184.13  | elastic-net  |                      2 |                      0 |          3.43214 |             2671.89  |
|  12 |            7765.66  |                       1 |           1       |               615.501 | elastic-net  |                      3 |                      0 |          2.39415 |              156.374 |
|  13 |            3526.93  |                       2 |           1.99976 |              1187.08  | elastic-net  |                      3 |                      0 |          2.49706 |              197.518 |
|  14 |            1276.95  |                       4 |           3.66435 |              1969.05  | elastic-net  |                      3 |                      0 |          2.7861  |              295.993 |
|  15 |            1102.93  |                       8 |           4.75285 |              3130.62  | elastic-net  |                      3 |                      0 |          2.9187  |             3120     |
|  16 |            1112.14  |                      16 |           4.67508 |              2781.93  | elastic-net  |                      3 |                      0 |          3.0606  |             1724.48  |
|  17 |            1041.85  |                      32 |           4.55581 |              2736.43  | elastic-net  |                      3 |                      0 |          3.47528 |             1633.27  |
|  18 |            7615.28  |                       1 |           1       |               625.94  | elastic-net  |                      4 |                      0 |          1.83003 |              124.019 |
|  19 |            3584.39  |                       2 |           1.99976 |              1176.79  | elastic-net  |                      4 |                      0 |          2.51803 |              185.298 |
|  20 |            1480.83  |                       4 |           3.50263 |              1843.48  | elastic-net  |                      4 |                      0 |          2.90352 |              314.644 |
|  21 |            1208.27  |                       8 |           4.53721 |              2552.11  | elastic-net  |                      4 |                      0 |          3.31375 |             1076.71  |
|  22 |            1089.2   |                      16 |           4.21763 |              2357.77  | elastic-net  |                      4 |                      0 |          3.271   |              946.187 |
|  23 |            1253.31  |                      32 |           4.40141 |              2722.54  | elastic-net  |                      4 |                      0 |          4.21189 |             2128.38  |
|  24 |            7746.59  |                       1 |           1       |               618.845 | elastic-net  |                      5 |                      0 |          2.39812 |              144.136 |
|  25 |            3537.62  |                       2 |           1.99976 |              1192.03  | elastic-net  |                      5 |                      0 |          1.969   |              182.615 |
|  26 |            1031.36  |                       4 |           3.82995 |              2082.15  | elastic-net  |                      5 |                      0 |          2.10016 |              321.093 |
|  27 |            1240.36  |                       8 |           4.095   |              2317.21  | elastic-net  |                      5 |                      0 |          3.14356 |             1028.44  |
|  28 |            1256.46  |                      16 |           4.2337  |              2410.59  | elastic-net  |                      5 |                      0 |          4.0412  |             1321.17  |
|  29 |            1278.19  |                      32 |           4.41501 |              2350.17  | elastic-net  |                      5 |                      0 |          5.90256 |             1456.41  |
|  30 |            7616.84  |                       1 |           1       |               621.785 | elastic-net  |                      1 |                      1 |          2.29833 |               76.334 |
|  31 |            3633.58  |                       2 |           1.99976 |              1212.67  | elastic-net  |                      1 |                      1 |          2.53303 |              256.569 |
|  32 |             925.633 |                       4 |           3.9984  |              2330.7   | elastic-net  |                      1 |                      1 |          2.45412 |              716.697 |
|  33 |             728.312 |                       8 |           5.10725 |              3323.54  | elastic-net  |                      1 |                      1 |          2.96489 |             1862.27  |
|  34 |             697.086 |                      16 |           5.50358 |              3317.44  | elastic-net  |                      1 |                      1 |          3.02316 |             1822.33  |
|  35 |             777.117 |                      32 |           4.9505  |              2950.89  | elastic-net  |                      1 |                      1 |          3.755   |             1150.51  |
|  36 |            7586.95  |                       1 |           1       |               630.384 | elastic-net  |                      2 |                      1 |          2.29703 |              165.942 |
|  37 |            3534.66  |                       2 |           1.99976 |              1200.78  | elastic-net  |                      2 |                      1 |          2.47909 |              231.031 |
|  38 |             930.164 |                       4 |           3.95883 |              2209.95  | elastic-net  |                      2 |                      1 |          2.73746 |              511.957 |
|  39 |             820.732 |                       8 |           5.07614 |              3172.18  | elastic-net  |                      2 |                      1 |          2.98199 |             2010.82  |
|  40 |             805.017 |                      16 |           5.06586 |              3297.34  | elastic-net  |                      2 |                      1 |          2.97325 |             3166.6   |
|  41 |             781.998 |                      32 |           5.15198 |              3348.14  | elastic-net  |                      2 |                      1 |          3.24112 |             2902.61  |
|  42 |            7782.13  |                       1 |           1       |               620.362 | elastic-net  |                      3 |                      1 |          2.41215 |              143.209 |
|  43 |            3671.36  |                       2 |           1.99976 |              1190.83  | elastic-net  |                      3 |                      1 |          2.53709 |              224.003 |
|  44 |            1040.74  |                       4 |           3.9984  |              2222.5   | elastic-net  |                      3 |                      1 |          2.85088 |              674.831 |
|  45 |             839.986 |                       8 |           4.84731 |              2702.78  | elastic-net  |                      3 |                      1 |          3.1278  |             1074.98  |
|  46 |             840.626 |                      16 |           5.00751 |              2771.25  | elastic-net  |                      3 |                      1 |          3.3301  |             1176.15  |
|  47 |             907.353 |                      32 |           5.01505 |              3038.93  | elastic-net  |                      3 |                      1 |          3.6893  |             2428.2   |
|  48 |            7785.8   |                       1 |           1       |               623.032 | elastic-net  |                      4 |                      1 |          2.36003 |              159.484 |
|  49 |            3672.79  |                       2 |           1.99976 |              1181.91  | elastic-net  |                      4 |                      1 |          2.61215 |              223.416 |
|  50 |            1110.48  |                       4 |           3.70782 |              1903.82  | elastic-net  |                      4 |                      1 |          3.03514 |              271.386 |
|  51 |             970.46  |                       8 |           4.48029 |              2576.95  | elastic-net  |                      4 |                      1 |          3.23934 |             1293.07  |
|  52 |            1023.52  |                      16 |           4.3611  |              2495.33  | elastic-net  |                      4 |                      1 |          3.4599  |             1071.97  |
|  53 |             977.883 |                      32 |           4.66853 |              2703.6   | elastic-net  |                      4 |                      1 |          3.95376 |             1639.04  |
|  54 |            7862.9   |                       1 |           1       |               615.23  | elastic-net  |                      5 |                      1 |          2.42815 |              160.635 |
|  55 |            3678.77  |                       2 |           2       |              1173.94  | elastic-net  |                      5 |                      1 |          2.50109 |              192.662 |
|  56 |             973.789 |                       4 |           3.9984  |              2210.63  | elastic-net  |                      5 |                      1 |          2.6589  |              381.958 |
|  57 |            1094.46  |                       8 |           4.74834 |              3425.69  | elastic-net  |                      5 |                      1 |          3.20464 |             3517.77  |
|  58 |            1100.27  |                      16 |           4.662   |              3400.82  | elastic-net  |                      5 |                      1 |          3.33158 |             3664.28  |
