,client_latency_ms,configured_batch_size,inst_type,mean_batch_size,mean_throughput_qps,model_name,num_cpus_per_replica,num_gpus_per_replica,p99_latency_ms,std_throughput_qps
0,50522.5288542,8,g3.4xlarge,7.99360511590727410404,99.2999060582,kernel-svm,2,0,81.4556,6.33862565329
1,59710.842638,1,g3.4xlarge,1,80.7426808457,kernel-svm,5,0,19.95706,1.68870747859
2,53311.8258491,8,g3.4xlarge,7.99360511590727410404,94.1249613946,kernel-svm,4,0,111.83996,6.48132157241
3,52509.9733614,32,g3.4xlarge,31.8471337579617834179,107.125101567,kernel-svm,4,1,361.1446,37.3684693109
4,59752.316177,1,g3.4xlarge,1,83.2231696846,kernel-svm,3,0,12.72515,0.785248399653
5,49862.8062922,32,g3.4xlarge,31.8471337579617834179,112.758935924,kernel-svm,1,0,322.17435,39.041618297
6,59760.3555579,1,g3.4xlarge,1,83.1995455686,kernel-svm,3,1,12.73639,0.351760132607
7,56694.4963522,2,g3.4xlarge,2,87.9541078045,kernel-svm,2,1,33.77094,1.91619773043
8,55509.3672752,2,g3.4xlarge,1.999755859375,89.8881864442,kernel-svm,3,0,23.02636,0.462586471773
9,54593.2218297,4,g3.4xlarge,3.99840063974410235581,91.549543234,kernel-svm,5,1,58.42918,4.40166245156
10,56796.4074344,2,g3.4xlarge,1.999755859375,87.9263792861,kernel-svm,1,1,34.26572,2.01744815777
11,53190.3164101,8,g3.4xlarge,7.99360511590727410404,94.3104739499,kernel-svm,2,1,110.55344,6.36391223667
12,50561.6172366,8,g3.4xlarge,7.99360511590727410404,99.2822197334,kernel-svm,1,0,81.38532,6.28158144964
13,52657.4270329,16,g3.4xlarge,15.9744408945686900067,95.8641895416,kernel-svm,4,1,196.16699,8.26314510878
14,51416.2596642,16,g3.4xlarge,15.9744408945686900067,98.109607257,kernel-svm,3,0,165.89801,8.1712726914
15,57051.9777003,2,g3.4xlarge,1.999755859375,87.5786600774,kernel-svm,5,0,34.7446,2.01721892309
16,54427.6783534,4,g3.4xlarge,3.99840063974410235581,91.8744529676,kernel-svm,4,0,59.03838,4.29045002188
17,53948.754626,2,g3.4xlarge,2,92.4822036226,kernel-svm,1,0,21.80209,0.183730791729
18,51606.5282862,4,g3.4xlarge,3.99840063974410235581,96.8509592098,kernel-svm,1,0,41.6259,3.84812418507
19,52557.0134446,32,g3.4xlarge,31.8471337579617834179,106.77189389,kernel-svm,5,1,363.1543,36.4527381482
20,57672.7095594,1,g3.4xlarge,1,86.6554379122,kernel-svm,1,0,11.679,0.580400812495
21,53969.941827,2,g3.4xlarge,1.999755859375,92.4417838049,kernel-svm,2,0,21.90009,0.382693440128
22,49940.3948036,16,g3.4xlarge,15.9744408945686900067,100.970494319,kernel-svm,2,0,161.2393,8.40793584957
23,57602.4874302,1,g3.4xlarge,1,86.5655108697,kernel-svm,2,0,11.71309,0.237428902859
24,54438.8722944,4,g3.4xlarge,3.99840063974410235581,91.8062581157,kernel-svm,1,1,59.52284,4.2038005269
25,52841.8514141,16,g3.4xlarge,15.9744408945686900067,95.6217301318,kernel-svm,5,1,196.61067,8.35265926831
26,56865.8646653,2,g3.4xlarge,2,87.8262613138,kernel-svm,4,1,34.31031,1.9489922803
27,52686.2484338,16,g3.4xlarge,15.9744408945686900067,95.8375975936,kernel-svm,2,1,196.12894,8.35519587093
28,59775.2200357,1,g3.4xlarge,1,81.3852110416,kernel-svm,4,1,19.60421,1.63932962457
29,52619.5311395,16,g3.4xlarge,15.9744408945686900067,95.930448271,kernel-svm,1,1,196.81807,8.33701807606
30,54343.7570741,4,g3.4xlarge,3.99840063974410235581,92.0717447215,kernel-svm,2,1,58.8014,4.24262195759
31,53090.5035062,4,g3.4xlarge,3.99840063974410235581,94.0627623972,kernel-svm,3,0,43.49778,3.75271678135
32,49821.3963317,32,g3.4xlarge,31.8471337579617834179,112.442344346,kernel-svm,2,0,322.59915,38.1069830231
33,59697.532837,1,g3.4xlarge,1,80.8340393876,kernel-svm,5,1,19.86245,1.64823259903
34,51999.3763917,8,g3.4xlarge,7.99360511590727410404,96.5156278873,kernel-svm,3,1,84.60328,6.24329815208
35,53086.5957181,4,g3.4xlarge,3.99840063974410235581,94.1136260814,kernel-svm,3,1,43.43186,3.7578125446
36,49970.6425733,16,g3.4xlarge,15.9744408945686900067,100.973426384,kernel-svm,1,0,162.17208,8.3844220204
37,59768.5462891,1,g3.4xlarge,1,82.9781443387,kernel-svm,4,0,12.92524,0.885830146758
38,53222.1292294,8,g3.4xlarge,7.99360511590727410404,94.3661739601,kernel-svm,4,1,111.79084,6.33783569811
39,51441.8067707,32,g3.4xlarge,31.7460317460317460077,109.16247315,kernel-svm,3,0,332.07348,36.9328493916
40,57063.4572852,2,g3.4xlarge,1.999755859375,87.5762911416,kernel-svm,5,1,34.11712,1.96320703724
