+----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------+
|    |   client_latency_ms |   configured_batch_size |   mean_batch_size |   mean_throughput_qps | model_name   |   num_cpus_per_replica |   num_gpus_per_replica |   p99_latency_ms |   std_throughput_qps |
|----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------|
|  0 |             50522.5 |                       8 |           7.99361 |               99.2999 | kernel-svm   |                      2 |                      0 |          81.4556 |             6.33863  |
|  1 |             59710.8 |                       1 |           1       |               80.7427 | kernel-svm   |                      5 |                      0 |          19.9571 |             1.68871  |
|  2 |             53311.8 |                       8 |           7.99361 |               94.125  | kernel-svm   |                      4 |                      0 |         111.84   |             6.48132  |
|  3 |             52510   |                      32 |          31.8471  |              107.125  | kernel-svm   |                      4 |                      1 |         361.145  |            37.3685   |
|  4 |             59752.3 |                       1 |           1       |               83.2232 | kernel-svm   |                      3 |                      0 |          12.7251 |             0.785248 |
|  5 |             49862.8 |                      32 |          31.8471  |              112.759  | kernel-svm   |                      1 |                      0 |         322.174  |            39.0416   |
|  6 |             59760.4 |                       1 |           1       |               83.1995 | kernel-svm   |                      3 |                      1 |          12.7364 |             0.35176  |
|  7 |             56694.5 |                       2 |           2       |               87.9541 | kernel-svm   |                      2 |                      1 |          33.7709 |             1.9162   |
|  8 |             55509.4 |                       2 |           1.99976 |               89.8882 | kernel-svm   |                      3 |                      0 |          23.0264 |             0.462586 |
|  9 |             54593.2 |                       4 |           3.9984  |               91.5495 | kernel-svm   |                      5 |                      1 |          58.4292 |             4.40166  |
| 10 |             56796.4 |                       2 |           1.99976 |               87.9264 | kernel-svm   |                      1 |                      1 |          34.2657 |             2.01745  |
| 11 |             53190.3 |                       8 |           7.99361 |               94.3105 | kernel-svm   |                      2 |                      1 |         110.553  |             6.36391  |
| 12 |             50561.6 |                       8 |           7.99361 |               99.2822 | kernel-svm   |                      1 |                      0 |          81.3853 |             6.28158  |
| 13 |             52657.4 |                      16 |          15.9744  |               95.8642 | kernel-svm   |                      4 |                      1 |         196.167  |             8.26315  |
| 14 |             51416.3 |                      16 |          15.9744  |               98.1096 | kernel-svm   |                      3 |                      0 |         165.898  |             8.17127  |
| 15 |             57052   |                       2 |           1.99976 |               87.5787 | kernel-svm   |                      5 |                      0 |          34.7446 |             2.01722  |
| 16 |             54427.7 |                       4 |           3.9984  |               91.8745 | kernel-svm   |                      4 |                      0 |          59.0384 |             4.29045  |
| 17 |             53948.8 |                       2 |           2       |               92.4822 | kernel-svm   |                      1 |                      0 |          21.8021 |             0.183731 |
| 18 |             51606.5 |                       4 |           3.9984  |               96.851  | kernel-svm   |                      1 |                      0 |          41.6259 |             3.84812  |
| 19 |             52557   |                      32 |          31.8471  |              106.772  | kernel-svm   |                      5 |                      1 |         363.154  |            36.4527   |
| 20 |             57672.7 |                       1 |           1       |               86.6554 | kernel-svm   |                      1 |                      0 |          11.679  |             0.580401 |
| 21 |             53969.9 |                       2 |           1.99976 |               92.4418 | kernel-svm   |                      2 |                      0 |          21.9001 |             0.382693 |
| 22 |             49940.4 |                      16 |          15.9744  |              100.97   | kernel-svm   |                      2 |                      0 |         161.239  |             8.40794  |
| 23 |             57602.5 |                       1 |           1       |               86.5655 | kernel-svm   |                      2 |                      0 |          11.7131 |             0.237429 |
| 24 |             54438.9 |                       4 |           3.9984  |               91.8063 | kernel-svm   |                      1 |                      1 |          59.5228 |             4.2038   |
| 25 |             52841.9 |                      16 |          15.9744  |               95.6217 | kernel-svm   |                      5 |                      1 |         196.611  |             8.35266  |
| 26 |             56865.9 |                       2 |           2       |               87.8263 | kernel-svm   |                      4 |                      1 |          34.3103 |             1.94899  |
| 27 |             52686.2 |                      16 |          15.9744  |               95.8376 | kernel-svm   |                      2 |                      1 |         196.129  |             8.3552   |
| 28 |             59775.2 |                       1 |           1       |               81.3852 | kernel-svm   |                      4 |                      1 |          19.6042 |             1.63933  |
| 29 |             52619.5 |                      16 |          15.9744  |               95.9304 | kernel-svm   |                      1 |                      1 |         196.818  |             8.33702  |
| 30 |             54343.8 |                       4 |           3.9984  |               92.0717 | kernel-svm   |                      2 |                      1 |          58.8014 |             4.24262  |
| 31 |             53090.5 |                       4 |           3.9984  |               94.0628 | kernel-svm   |                      3 |                      0 |          43.4978 |             3.75272  |
| 32 |             49821.4 |                      32 |          31.8471  |              112.442  | kernel-svm   |                      2 |                      0 |         322.599  |            38.107    |
| 33 |             59697.5 |                       1 |           1       |               80.834  | kernel-svm   |                      5 |                      1 |          19.8624 |             1.64823  |
| 34 |             51999.4 |                       8 |           7.99361 |               96.5156 | kernel-svm   |                      3 |                      1 |          84.6033 |             6.2433   |
| 35 |             53086.6 |                       4 |           3.9984  |               94.1136 | kernel-svm   |                      3 |                      1 |          43.4319 |             3.75781  |
| 36 |             49970.6 |                      16 |          15.9744  |              100.973  | kernel-svm   |                      1 |                      0 |         162.172  |             8.38442  |
| 37 |             59768.5 |                       1 |           1       |               82.9781 | kernel-svm   |                      4 |                      0 |          12.9252 |             0.88583  |
| 38 |             53222.1 |                       8 |           7.99361 |               94.3662 | kernel-svm   |                      4 |                      1 |         111.791  |             6.33784  |
| 39 |             51441.8 |                      32 |          31.746   |              109.162  | kernel-svm   |                      3 |                      0 |         332.073  |            36.9328   |
| 40 |             57063.5 |                       2 |           1.99976 |               87.5763 | kernel-svm   |                      5 |                      1 |          34.1171 |             1.96321  |
| 41 |             51709   |                       4 |           3.9984  |               96.6601 | kernel-svm   |                      2 |                      0 |          41.786  |             3.83887  |
| 42 |             51991.4 |                       8 |           7.99361 |               96.5301 | kernel-svm   |                      3 |                      0 |          84.4343 |             6.14535  |
| 43 |             52522.1 |                      32 |          31.8471  |              106.838  | kernel-svm   |                      2 |                      1 |         362.26   |            36.2904   |
| 44 |             52640   |                      32 |          31.8471  |              106.789  | kernel-svm   |                      4 |                      0 |         362.791  |            36.4076   |
| 45 |             52600.7 |                      16 |          15.9744  |               95.8122 | kernel-svm   |                      4 |                      0 |         196.192  |             8.47871  |
| 46 |             54421.5 |                       4 |           3.9984  |               92.021  | kernel-svm   |                      4 |                      1 |          58.9571 |             4.24996  |
| 47 |             55570.7 |                       2 |           2       |               89.7584 | kernel-svm   |                      3 |                      1 |          23.0933 |             0.354506 |
| 48 |             59771.5 |                       1 |           1       |               81.3933 | kernel-svm   |                      1 |                      1 |          19.4313 |             1.67768  |
| 49 |             57012.9 |                       2 |           1.99976 |               87.6388 | kernel-svm   |                      4 |                      0 |          34.0564 |             1.97139  |
| 50 |             53492.3 |                       8 |           7.99361 |               93.9098 | kernel-svm   |                      5 |                      1 |         113.734  |             6.38199  |
| 51 |             53170.2 |                       8 |           7.99361 |               94.3091 | kernel-svm   |                      1 |                      1 |         111.308  |             6.41525  |
| 52 |             59788.8 |                       1 |           1       |               81.4018 | kernel-svm   |                      2 |                      1 |          19.5588 |             1.6569   |
| 53 |             51406.6 |                      16 |          15.9744  |               98.1098 | kernel-svm   |                      3 |                      1 |         167.028  |             8.13936  |
+----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------+
