+-----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------+
|     |   client_latency_ms |   configured_batch_size |   mean_batch_size |   mean_throughput_qps | model_name   |   num_cpus_per_replica |   num_gpus_per_replica |   p99_latency_ms |   std_throughput_qps |
|-----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------|
|   0 |           962.667   |                       8 |           4.86618 |              3292.57  | lgbm         |                      5 |                      1 |          8.00672 |          3616.6      |
|   1 |           709.228   |                      64 |           5.55556 |              3828.86  | lgbm         |                      1 |                      0 |          2.26996 |          3170.74     |
|   2 |             2.89371 |                       4 |           1       |               192.574 | lgbm         |                      4 |                      0 |          2.72639 |             1.03214  |
|   3 |             2.8142  |                      16 |           1       |               192.212 | lgbm         |                      3 |                      0 |          1.72606 |             0.787552 |
|   4 |          1546.6     |                       4 |           3.94166 |              1884.87  | lgbm         |                      5 |                      1 |          8.8131  |           942.393    |
|   5 |           927.077   |                      16 |           4.71921 |              3490.14  | lgbm         |                      4 |                      1 |          5.7756  |          3945.67     |
|   6 |           694.239   |                      32 |           5.45256 |              4012.9   | lgbm         |                      1 |                      1 |          2.362   |          3856.4      |
|   7 |          4625.14    |                      32 |          31.9744  |              2908.41  | lgbm         |                      5 |                      0 |         12.4004  |          2092.25     |
|   8 |          4009.47    |                      32 |          31.4218  |              3944.94  | lgbm         |                      2 |                      1 |          7.7542  |          2810.13     |
|   9 |          5257.18    |                      16 |          15.9936  |              2526.77  | lgbm         |                      5 |                      0 |         11.0343  |          1629.29     |
|  10 |          7824.61    |                       1 |           1       |               610.663 | lgbm         |                      2 |                      1 |          1.86215 |           154.98     |
|  11 |         11278.6     |                       4 |           4       |               749.707 | lgbm         |                      4 |                      0 |          7.04657 |           365.687    |
|  12 |          5538.48    |                       8 |           7.99829 |              1245.24  | lgbm         |                      2 |                      0 |          3.34052 |           682.124    |
|  13 |         19153.3     |                       2 |           1.99976 |               356.155 | lgbm         |                      3 |                      0 |          2.73206 |           198.044    |
|  14 |             2.8095  |                     128 |           1       |               192.28  | lgbm         |                      3 |                      0 |          1.72603 |             0.724292 |
|  15 |           819.951   |                       8 |           5.26593 |              4322.24  | lgbm         |                      3 |                      0 |          3.578   |          4834.96     |
|  16 |         11983       |                       4 |           4       |               740.514 | lgbm         |                      5 |                      1 |          8.05635 |           447.654    |
|  17 |          5681.58    |                       8 |           7.99799 |              2080.8   | lgbm         |                      1 |                      1 |          3.09339 |          1199.27     |
|  18 |          7164.47    |                       8 |           7.99951 |              2097.51  | lgbm         |                      3 |                      0 |          8.98416 |          1372.44     |
|  19 |             2.78524 |                     128 |           1       |               192.299 | lgbm         |                      2 |                      0 |          1.69803 |             0.785379 |
|  20 |             2.7758  |                       1 |           1       |               192.85  | lgbm         |                      1 |                      0 |          1.68603 |             0.801944 |
|  21 |          5421.46    |                       8 |           7.9984  |              1904.3   | lgbm         |                      3 |                      0 |          9.55624 |          1132.27     |
|  22 |         19145.5     |                       2 |           2       |               450.808 | lgbm         |                      4 |                      1 |          2.8272  |           283.224    |
|  23 |          4701.21    |                      16 |          15.9862  |              3113.81  | lgbm         |                      3 |                      0 |         10.439   |          2047.21     |
|  24 |          7166.69    |                       8 |           8       |              1797.77  | lgbm         |                      3 |                      1 |          8.42775 |          1203.03     |
|  25 |         11679.4     |                       4 |           4       |              1109.28  | lgbm         |                      4 |                      0 |          7.04657 |           622.828    |
|  26 |          3593.82    |                       2 |           1.99976 |              1210.79  | lgbm         |                      2 |                      1 |          1.91706 |           214.925    |
|  27 |          3368.73    |                      32 |          31.7965  |              2770.8   | lgbm         |                      3 |                      0 |         11.2311  |          1906.74     |
|  28 |          4959.09    |                      16 |          15.9936  |              3204.3   | lgbm         |                      4 |                      0 |         10.5328  |          2425.58     |
