+----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------+
|    |   client_latency_ms |   configured_batch_size |   mean_batch_size |   mean_throughput_qps | model_name   |   num_cpus_per_replica |   num_gpus_per_replica |   p99_latency_ms |   std_throughput_qps |
|----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------|
|  0 |            46944.5  |                       1 |           1       |               17.1432 | alexnet      |                      1 |                      0 |          62.4896 |            0.109982  |
|  1 |            43331.3  |                       2 |           1.99868 |               18.579  | alexnet      |                      1 |                      0 |         113.588  |            0.0843744 |
|  2 |            38641.1  |                       4 |           3.99208 |               20.8645 | alexnet      |                      1 |                      0 |         206.87   |            0.104351  |
|  3 |            36252.4  |                       6 |           5.98016 |               22.3164 | alexnet      |                      1 |                      0 |         283.761  |            0.651765  |
|  4 |            35692.1  |                       8 |           7.96296 |               22.7436 | alexnet      |                      1 |                      0 |         398.042  |            0.981297  |
|  5 |            34569.2  |                      10 |           9.94079 |               23.3915 | alexnet      |                      1 |                      0 |         448.491  |            0.153135  |
|  6 |            11404.5  |                       1 |           1       |               99.0328 | alexnet      |                      1 |                      1 |          14.6309 |            6.91794   |
|  7 |             9166.84 |                       2 |           1.99872 |              114.474  | alexnet      |                      1 |                      1 |          19.5738 |            5.32481   |
|  8 |             8370.06 |                       4 |           3.99268 |              141.984  | alexnet      |                      1 |                      1 |          38.716  |            9.36434   |
|  9 |             7746.68 |                       6 |           5.98162 |              153.959  | alexnet      |                      1 |                      1 |          51.4472 |            8.05849   |
| 10 |             7558.35 |                       8 |           7.96651 |              157.805  | alexnet      |                      1 |                      1 |          61.4677 |            7.75862   |
| 11 |             7214.53 |                      10 |           9.94118 |              159.488  | alexnet      |                      1 |                      1 |        1029.15   |            4.2294    |
| 12 |            39335.5  |                       1 |           1       |               20.5071 | alexnet      |                      2 |                      0 |          52.426  |            0.192605  |
| 13 |            34944.5  |                       2 |           1.99868 |               23.0603 | alexnet      |                      2 |                      0 |          92.7042 |            0.206326  |
| 14 |            29452.9  |                       4 |           3.99215 |               27.4166 | alexnet      |                      2 |                      0 |         155.929  |            0.292562  |
| 15 |            27614.3  |                       6 |           5.98031 |               29.4759 | alexnet      |                      2 |                      0 |         219.735  |            0.956765  |
| 16 |            26872.3  |                       8 |           7.96354 |               30.4154 | alexnet      |                      2 |                      0 |         324.775  |            1.26553   |
| 17 |            26269.8  |                      10 |           9.94079 |               31.0741 | alexnet      |                      2 |                      0 |         387.122  |            0.396043  |
| 18 |            10562.5  |                       1 |           1       |               99.3304 | alexnet      |                      2 |                      1 |          13.5008 |            7.02173   |
| 19 |             9152.86 |                       2 |           1.99868 |              119.594  | alexnet      |                      2 |                      1 |          29.1061 |           11.3553    |
| 20 |             8349.18 |                       4 |           3.99267 |              142.481  | alexnet      |                      2 |                      1 |          41.0859 |            8.74804   |
| 21 |             7828.54 |                       6 |           5.98134 |              152.642  | alexnet      |                      2 |                      1 |          55.5018 |            9.2658    |
| 22 |             7838.48 |                       8 |           7.96482 |              152.308  | alexnet      |                      2 |                      1 |         101.76   |           15.2505    |
| 23 |             7896.43 |                      10 |           9.94479 |              150.123  | alexnet      |                      2 |                      1 |         828.647  |           13.086     |
| 24 |            37683.5  |                       1 |           1       |               21.9009 | alexnet      |                      3 |                      0 |          71.3469 |            0.156367  |
| 25 |            32472.2  |                       2 |           1.99868 |               25.0307 | alexnet      |                      3 |                      0 |          92.6783 |            0.338719  |
| 26 |            28828    |                       4 |           3.99206 |               28.1456 | alexnet      |                      3 |                      0 |         159.57   |            0.36286   |
| 27 |            26701    |                       6 |           5.98031 |               30.8705 | alexnet      |                      3 |                      0 |         273.34   |            1.71322   |
| 28 |            25739.7  |                       8 |           7.96296 |               31.666  | alexnet      |                      3 |                      0 |         295.381  |            1.3831    |
| 29 |            25716.9  |                      10 |           9.94079 |               31.7565 | alexnet      |                      3 |                      0 |         398.878  |            0.601797  |
| 30 |            10600.2  |                       1 |           1       |               98.3043 | alexnet      |                      3 |                      1 |          13.6516 |            7.49123   |
| 31 |             9499.16 |                       2 |           1.99872 |              117.677  | alexnet      |                      3 |                      1 |          24.1453 |           10.4563    |
| 32 |             8512.61 |                       4 |           3.99267 |              139.263  | alexnet      |                      3 |                      1 |          47.8352 |           14.8777    |
| 33 |             7962.69 |                       6 |           5.98054 |              145.379  | alexnet      |                      3 |                      1 |          72.3068 |           16.026     |
| 34 |             8024.63 |                       8 |           7.96517 |              153.117  | alexnet      |                      3 |                      1 |          98.5646 |           15.0505    |
| 35 |             7380    |                      10 |           9.94079 |              155.549  | alexnet      |                      3 |                      1 |        1035.97   |            9.76633   |
+----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------+
