+----+------------------------+-------------------------+-----------------------+------------------+---------------------+
|    |   num_gpus_per_replica |   configured_batch_size |   mean_throughput_qps |   p99_latency_ms |   client_latency_ms |
|----+------------------------+-------------------------+-----------------------+------------------+---------------------|
|  1 |                      0 |                       4 |               20.9446 |         202.5    |            38468.8  |
|  3 |                      1 |                      48 |              161.924  |         576.196  |            24622.8  |
|  4 |                      1 |                     128 |              174.605  |         813.222  |            59524.3  |
|  5 |                      1 |                       1 |               81.0929 |          13.5547 |            10978.5  |
|  6 |                      1 |                      20 |              153.589  |         866.801  |             6177.27 |
|  7 |                      0 |                      24 |               24.7047 |        1099.11   |            78703.1  |
| 10 |                      1 |                      10 |              146.951  |         394.195  |             6393.35 |
| 12 |                      0 |                      10 |               23.1822 |         451.463  |            35015.9  |
| 14 |                      0 |                      16 |               24.2439 |         709.71   |            53647.2  |
| 22 |                      1 |                      12 |              153.023  |         567.502  |             6517.66 |
| 24 |                      1 |                       6 |              139.872  |          58.3548 |             6695.02 |
| 29 |                      0 |                      20 |               24.4941 |         858.665  |            66181.5  |
| 30 |                      1 |                      24 |              164.155  |        1042.78   |             6084.72 |
| 32 |                      1 |                      16 |              157.594  |         872.792  |             6083.67 |
| 34 |                      1 |                      30 |              171.559  |         869.916  |             6037.95 |
| 36 |                      0 |                       6 |               22.5128 |         280.8    |            35893.6  |
| 40 |                      1 |                      30 |              168.812  |         503.375  |            15177.1  |
| 41 |                      1 |                      64 |              167.53   |         649.123  |            31549.7  |
| 42 |                      0 |                       2 |               18.6481 |         113.318  |            43178.1  |
| 45 |                      0 |                       8 |               23.0244 |         362.543  |            35124.8  |
| 48 |                      0 |                       1 |               16.7962 |          63.1834 |            47922.5  |
| 50 |                      0 |                      12 |               23.7307 |         527.647  |            41006.8  |
| 53 |                      1 |                       4 |              128.392  |          43.9699 |             7774.08 |
| 55 |                      1 |                       8 |              151.284  |          68.5792 |             6585    |
| 56 |                      1 |                       2 |              104.999  |          21.0492 |             8723.24 |
+----+------------------------+-------------------------+-----------------------+------------------+---------------------+
