,mean_batch_size,cost,std_throughput_qps,fname,num_gpus_per_replica,p99_latency,num_cpus_per_replica,mean_throughput_qps,inst_type
0,0.0,0.7475,1.02508700577,results-171124_103213.json,1,0.64969284,1,56.1586573548,p2.8xlarge
1,0.0,0.7475,4.39137683198,results-171124_111635.json,1,3.26286637,1,73.4907591236,p2.8xlarge
2,0.0,0.7475,0.0214813411971,results-171125_091916.json,1,0.10303721,1,21.3981939987,p2.8xlarge
3,0.0,0.7475,4.56687142646,results-171124_112151.json,1,4.40835,1,74.4789540117,p2.8xlarge
4,0.0,0.7475,1.73967073888,results-171124_104518.json,1,0.88848846,1,63.6500676288,p2.8xlarge
5,0.0,0.7475,2.15082526067,results-171124_105619.json,1,1.24351174,1,69.1334582039,p2.8xlarge
6,0.0,0.7475,0.381925074315,results-171124_102640.json,1,0.24254928,1,48.9835423338,p2.8xlarge
7,0.0,0.7475,4.47502745262,results-171124_110533.json,1,2.27284174,1,72.6841939087,p2.8xlarge
8,2.0,0.7475,0.376855604802,results-171124_101956.json,1,0.34272375,1,32.7022359157,p2.8xlarge
9,0.0,0.7475,3.874411504,results-171124_110126.json,1,1.79164691,1,70.3490598129,p2.8xlarge
10,0.0,0.7475,1.78263012118,results-171124_103942.json,1,0.77474337,1,60.6041408356,p2.8xlarge
11,0.0,0.7475,2.10505792117,results-171124_105104.json,1,1.02623545,1,65.508267032,p2.8xlarge
