,client_latency_ms,configured_batch_size,inst_type,mean_batch_size,mean_throughput_qps,model_name,num_cpus_per_replica,num_gpus_per_replica,p99_latency_ms,std_throughput_qps
0,5746.59043105,6,p2.8xlarge,5.998779296875,2176.59416198,tf-log-reg,1,0,2.86806,196.924361549
1,3948.95559855,8,p2.8xlarge,7.995361328125,2387.53844865,tf-log-reg,1,0,3.488,143.965334287
2,3644.31022975,10,p2.8xlarge,9.90283203125,2462.05166124,tf-log-reg,1,0,4.064,164.73456121
3,3364.6524313,16,p2.8xlarge,10.26025390625,2296.32594742,tf-log-reg,1,0,5.07303,117.321194497
4,40560.5906656,1,p2.8xlarge,1,553.4436307,tf-log-reg,1,0,2.03403,63.5314550804
5,23032.856201,2,p2.8xlarge,1.999755859375,981.390394244,tf-log-reg,1,0,2.37506,265.567121391
6,10294.06821,4,p2.8xlarge,4,1582.64427349,tf-log-reg,1,0,2.73206,175.562550726
7,7848.22497631,24,p2.8xlarge,10.44482421875,2206.56388921,tf-log-reg,1,0,6.42042,108.998582633
8,7103.98790315,32,p2.8xlarge,11.996337890625,2284.2101588,tf-log-reg,1,0,6.81606,195.455293819
9,7320.83009272,48,p2.8xlarge,10.98291015625,2239.8436542,tf-log-reg,1,0,6.88745,195.71394648
10,6958.93256196,64,p2.8xlarge,10.823486328125,2198.95112053,tf-log-reg,1,0,6.56312,144.818338953
