,client_latency_ms,configured_batch_size,mean_batch_size,mean_throughput_qps,model_name,num_cpus_per_replica,num_gpus_per_replica,p99_latency_ms,std_throughput_qps
0,103453.94473,1,1,30.9415893603,vgg,1,1,32.755,0.11680536579
1,99881.2364901,2,1.999755859375,36.4547910783,vgg,1,1,56.12366,0.186708323524
2,98476.1234526,4,3.99872935196950438324,39.9543494518,vgg,1,1,102.17114,1.58667514422
3,97399.5724169,6,5.99691928527418354703,41.4562329977,vgg,1,1,147.99356,2.25039549155
4,96932.9432274,8,7.99438652766639927961,42.5491014866,vgg,1,1,193.20144,2.71952470667
5,95514.2765608,10,9.99000999000999000219,42.9805094944,vgg,1,1,237.62032,1.53330720379
6,87118.5843733,12,11.9760479041916166826,46.7289751582,vgg,1,1,264.10172,3.73298339048
7,70888.6029463,16,15.9744408945686900067,55.2200965559,vgg,1,1,297.97186,5.23431086813
8,87214.3963719,20,19.9600798403193613155,48.5598651437,vgg,1,1,436.7254,9.90448029738
9,75914.0329244,24,23.9234449760765549974,52.9105156492,vgg,1,1,467.04998,5.41285899703
10,74975.7251575,32,31.9207161125319692514,62.0573088111,vgg,1,1,525.95224,1.95367451747
11,76023.2700916,48,47.8246268656716418018,64.0772280286,vgg,1,1,1700.34921,2.94833137424
12,73992.3621918,64,63.7096774193548386657,69.5372807432,vgg,1,1,3315.61976,3.63521272688
