+----+---------------------+-------------------------+-------------------+-----------------------+-----------------------------+------------------------+------------------------+------------------+----------------------+
|    |   client_latency_ms |   configured_batch_size |   mean_batch_size |   mean_throughput_qps | model_name                  |   num_cpus_per_replica |   num_gpus_per_replica |   p99_latency_ms |   std_throughput_qps |
|----+---------------------+-------------------------+-------------------+-----------------------+-----------------------------+------------------------+------------------------+------------------+----------------------|
|  0 |            145176   |                       4 |           3.96296 |               1.25436 | inceptionv3-tfserve-compare |                      1 |                      0 |        3199.46   |          0.00034582  |
|  1 |             48152   |                       1 |           1       |              34.9273  | inceptionv3-tfserve-compare |                      1 |                      1 |          28.9954 |          0.0141933   |
|  2 |             22292.1 |                       8 |           7.98163 |              82.2835  | inceptionv3-tfserve-compare |                      1 |                      1 |         106.009  |          0.0253101   |
|  3 |             25067.9 |                       4 |           3.99602 |              71.4416  | inceptionv3-tfserve-compare |                      1 |                      1 |          58.2208 |          0.026933    |
|  4 |            145961   |                       2 |           1.99379 |               1.24044 | inceptionv3-tfserve-compare |                      1 |                      0 |        1618.5    |          0.000228727 |
|  5 |            145999   |                       6 |           5.92593 |               1.27937 | inceptionv3-tfserve-compare |                      1 |                      0 |        4798.88   |          0.0988412   |
|  6 |             20972.9 |                      16 |          15.9206  |              88.7132  | inceptionv3-tfserve-compare |                      1 |                      1 |         882.467  |          3.51041     |
|  7 |             52592.6 |                       4 |           3.96296 |               3.47132 | inceptionv3-tfserve-compare |                      3 |                      0 |        1220.28   |          0.0078604   |
|  8 |             21780   |                      10 |           9.97049 |              85.119   | inceptionv3-tfserve-compare |                      1 |                      1 |         120.612  |          0.11545     |
|  9 |             52423.2 |                       6 |           5.92593 |               3.56585 | inceptionv3-tfserve-compare |                      3 |                      0 |        1739.1    |          0.271491    |
| 10 |             76863.6 |                       2 |           1.99379 |               2.35624 | inceptionv3-tfserve-compare |                      2 |                      0 |         859.253  |          0.00195942  |
| 11 |             32095.1 |                       2 |           2       |              53.7548  | inceptionv3-tfserve-compare |                      1 |                      1 |          38.7066 |          0.0863801   |
| 12 |             53649.7 |                       2 |           1.99383 |               3.38292 | inceptionv3-tfserve-compare |                      3 |                      0 |         619.087  |          0.00666724  |
| 13 |             77248.5 |                       6 |           5.90909 |               2.36623 | inceptionv3-tfserve-compare |                      2 |                      0 |        2555.58   |          0.170552    |
| 14 |             20541.7 |                      32 |          31.6737  |              93.4114  | inceptionv3-tfserve-compare |                      1 |                      1 |        2372.49   |          5.56695     |
| 15 |             23018.2 |                       6 |           5.99004 |              79.3906  | inceptionv3-tfserve-compare |                      1 |                      1 |          79.1848 |          1.0749      |
| 16 |             77748.9 |                       1 |           1       |               2.32338 | inceptionv3-tfserve-compare |                      2 |                      0 |         447.084  |          0.00224863  |
| 17 |             21459.7 |                      12 |          11.9602  |              86.1665  | inceptionv3-tfserve-compare |                      1 |                      1 |         377.168  |          2.49209     |
| 18 |             76825.6 |                       4 |           3.96296 |               2.37095 | inceptionv3-tfserve-compare |                      2 |                      0 |        1701.75   |          0.000804934 |
| 19 |            147604   |                       1 |           1       |               1.22512 | inceptionv3-tfserve-compare |                      1 |                      0 |         820.308  |          0.000278984 |
| 20 |             20657.7 |                      24 |          23.8217  |              91.9238  | inceptionv3-tfserve-compare |                      1 |                      1 |        1958.43   |          4.71257     |
| 21 |             55513.3 |                       1 |           1       |               3.26026 | inceptionv3-tfserve-compare |                      3 |                      0 |         322.118  |          0.0120684   |
+----+---------------------+-------------------------+-------------------+-----------------------+-----------------------------+------------------------+------------------------+------------------+----------------------+
