+----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------+
|    |   client_latency_ms |   configured_batch_size |   mean_batch_size |   mean_throughput_qps | model_name   |   num_cpus_per_replica |   num_gpus_per_replica |   p99_latency_ms |   std_throughput_qps |
|----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------|
|  0 |            15807.7  |                       2 |           2       |              158.472  | lstm         |                      1 |                      0 |         14.5579  |              2.67696 |
|  1 |            13794.5  |                       4 |           3.9968  |              181.715  | lstm         |                      1 |                      0 |         25.6667  |              8.57247 |
|  2 |            12799.1  |                       8 |           7.97448 |              195.53   | lstm         |                      1 |                      0 |         67.3606  |             15.3674  |
|  3 |            15849.1  |                       2 |           1.9992  |              158.214  | lstm         |                      2 |                      0 |         14.5971  |              2.36581 |
|  4 |            14070.3  |                       4 |           3.9968  |              179.059  | lstm         |                      2 |                      0 |         39.9035  |             15.6861  |
|  5 |            12835.3  |                       8 |           7.98722 |              194.54   | lstm         |                      2 |                      0 |         72.3581  |             15.9717  |
|  6 |            15865.9  |                       2 |           1.9992  |              157.735  | lstm         |                      3 |                      0 |         14.5394  |              3.04505 |
|  7 |            13877.9  |                       4 |           3.9968  |              180.169  | lstm         |                      3 |                      0 |         36.7431  |             10.3553  |
|  8 |            13035.9  |                       8 |           7.98722 |              192.43   | lstm         |                      3 |                      0 |         73.6857  |             16.3971  |
|  9 |            15944.6  |                       2 |           1.9992  |              157.333  | lstm         |                      4 |                      0 |         14.7109  |              2.5639  |
| 10 |            13780    |                       4 |           3.9968  |              181.443  | lstm         |                      4 |                      0 |         25.6712  |              8.53704 |
| 11 |            12951.7  |                       8 |           7.98722 |              195.031  | lstm         |                      4 |                      0 |         64.0933  |             15.3034  |
| 12 |            15844.9  |                       2 |           1.9992  |              157.738  | lstm         |                      5 |                      0 |         14.5986  |              2.75105 |
| 13 |            13806.4  |                       4 |           3.9968  |              181.814  | lstm         |                      5 |                      0 |         25.7446  |              8.69619 |
| 14 |            13052.2  |                       8 |           7.98722 |              193.529  | lstm         |                      5 |                      0 |         58.5985  |             13.9556  |
| 15 |            19444.1  |                       2 |           1.9992  |              134.931  | lstm         |                      1 |                      1 |         16.9726  |              2.218   |
| 16 |            12663.1  |                       4 |           3.9968  |              211.404  | lstm         |                      1 |                      1 |         21.6356  |              9.27456 |
| 17 |             9479.64 |                       8 |           7.98722 |              291.132  | lstm         |                      1 |                      1 |         41.9296  |             21.4409  |
| 18 |            20065.9  |                       2 |           1.9992  |              130.399  | lstm         |                      2 |                      1 |         17.6619  |              2.3815  |
| 19 |            12925.3  |                       4 |           3.9968  |              207.812  | lstm         |                      2 |                      1 |         22.0691  |              9.2534  |
| 20 |             9557.6  |                       8 |           7.98722 |              288.136  | lstm         |                      2 |                      1 |         44.7045  |             22.9466  |
| 21 |            20098.3  |                       2 |           1.9992  |              130.53   | lstm         |                      3 |                      1 |         17.6213  |              1.88181 |
| 22 |            13825.7  |                       4 |           3.9968  |              193.737  | lstm         |                      3 |                      1 |         30.2949  |             12.8063  |
| 23 |            10777.3  |                       8 |           7.98722 |              253.231  | lstm         |                      3 |                      1 |         49.3401  |             22.4022  |
| 24 |            19605.5  |                       2 |           1.9992  |              133.234  | lstm         |                      4 |                      1 |         19.7238  |              4.87628 |
| 25 |            12835.5  |                       4 |           3.9968  |              209.625  | lstm         |                      4 |                      1 |         21.7105  |              9.32848 |
| 26 |            10383.8  |                       8 |           7.98722 |              270.278  | lstm         |                      4 |                      1 |         47.8954  |             28.1032  |
| 27 |            19884.4  |                       2 |           1.9992  |              130.942  | lstm         |                      5 |                      1 |         17.4118  |              2.93532 |
| 28 |            13018.7  |                       4 |           3.9968  |              206.59   | lstm         |                      5 |                      1 |         22.7222  |             10.1867  |
