+----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------+
|    |   client_latency_ms |   configured_batch_size |   mean_batch_size |   mean_throughput_qps | model_name   |   num_cpus_per_replica |   num_gpus_per_replica |   p99_latency_ms |   std_throughput_qps |
|----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------|
|  0 |             52813.4 |                       4 |           3.99661 |              30.3748  | inception    |                      5 |                      1 |         138.353  |           1.23591    |
|  1 |             54259.2 |                       1 |           1       |              28.1431  | inception    |                      2 |                      1 |          54.0063 |           0.479583   |
|  2 |             65116.8 |                       4 |           3.9717  |               3.54784 | inception    |                      3 |                      0 |        1159.67   |           0.137373   |
|  3 |             53105   |                       2 |           1.99943 |              30.0224  | inception    |                      6 |                      1 |          70.1509 |           0.268023   |
|  4 |             53069.5 |                       8 |           7.9843  |              30.7321  | inception    |                      5 |                      1 |         272.572  |           1.9052     |
|  5 |             95885.5 |                       1 |           1       |              29.7213  | inception    |                      1 |                      1 |          38.1275 |           0.0584645  |
|  6 |             53293.2 |                       1 |           1       |              29.2723  | inception    |                      3 |                      1 |          44.812  |           0.381116   |
|  7 |             54043   |                       1 |           1       |              28.2372  | inception    |                      2 |                      1 |          52.8583 |           0.565163   |
|  8 |             53573.5 |                       4 |           3.9966  |              30.0792  | inception    |                      2 |                      1 |         159.533  |           1.23503    |
|  9 |             52917.2 |                       1 |           1       |              29.4889  | inception    |                      6 |                      1 |          35.7592 |           0.231898   |
| 10 |             53510.5 |                       4 |           3.99658 |              29.9202  | inception    |                      3 |                      1 |         169.022  |           1.56995    |
| 11 |             53002.7 |                       2 |           1.99944 |              30.6045  | inception    |                      1 |                      1 |          67.2782 |           0.0835606  |
| 12 |             64911.6 |                       2 |           1.99528 |               3.52399 | inception    |                      3 |                      0 |         613.291  |           0.00529003 |
| 13 |             53227.2 |                       4 |           3.99672 |              31.23    | inception    |                      1 |                      1 |         134.653  |           1.29985    |
| 14 |             53127.3 |                       2 |           1.99943 |              30.0885  | inception    |                      4 |                      1 |          69.492  |           0.136982   |
| 15 |             52735.6 |                       4 |           3.99665 |              30.7149  | inception    |                      6 |                      1 |         137.574  |           1.27046    |
| 16 |             53628.1 |                       8 |           7.98413 |              30.1868  | inception    |                      2 |                      1 |         303.838  |           1.98607    |
| 17 |             66609.8 |                       8 |           7.86538 |               3.5597  | inception    |                      3 |                      0 |        2342.67   |           0.180186   |
| 18 |             54250.4 |                       2 |           1.99942 |              29.4022  | inception    |                      2 |                      1 |          86.0065 |           0.406568   |
| 19 |             53046.1 |                       8 |           7.98409 |              30.2906  | inception    |                      3 |                      1 |         286.189  |           1.96459    |
| 20 |             52744.5 |                       8 |           7.98485 |              31.6196  | inception    |                      1 |                      1 |         270.498  |           2.04674    |
| 21 |             53129.4 |                       1 |           1       |              29.3694  | inception    |                      5 |                      1 |          36.0827 |           0.292245   |
| 22 |             53132.5 |                       1 |           1       |              29.3348  | inception    |                      4 |                      1 |          35.8847 |           0.172476   |
| 23 |             52674   |                       8 |           7.98441 |              30.954   | inception    |                      6 |                      1 |         271.209  |           1.97374    |
| 24 |             67662.5 |                      16 |          15.4615  |               3.50069 | inception    |                      3 |                      0 |        4638.73   |           0.315134   |
| 25 |             52664   |                       2 |           1.99943 |              29.9681  | inception    |                      5 |                      1 |          70.4226 |           0.256884   |
| 26 |             53633.7 |                       2 |           1.99942 |              29.5922  | inception    |                      2 |                      1 |          85.5758 |           0.427771   |
| 27 |             52785.4 |                       4 |           3.99661 |              30.3953  | inception    |                      4 |                      1 |         138.042  |           1.21737    |
| 28 |             53847.6 |                       2 |           1.99943 |              29.813   | inception    |                      3 |                      1 |          77.3221 |           0.205886   |
| 29 |             65117.2 |                       1 |           1       |               3.50771 | inception    |                      3 |                      0 |         299.648  |           0.00265348 |
| 30 |             52684.3 |                       8 |           7.98441 |              30.9068  | inception    |                      4 |                      1 |         270.632  |           2.06122    |
+----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------+
