+----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------+
|    |   client_latency_ms |   configured_batch_size |   mean_batch_size |   mean_throughput_qps | model_name   |   num_cpus_per_replica |   num_gpus_per_replica |   p99_latency_ms |   std_throughput_qps |
|----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------|
|  0 |             18908.1 |                       6 |           5.96094 |              20.5199  | nmt          |                      3 |                      1 |          908.956 |            1.15329   |
|  1 |             24014.1 |                       6 |           5.96094 |              15.9898  | nmt          |                      1 |                      1 |          606.17  |            0.895104  |
|  2 |             33859.8 |                       4 |           3.98429 |              11.377   | nmt          |                      1 |                      1 |          404.458 |            0.443263  |
|  3 |             22032.9 |                       8 |           7.92632 |              17.9462  | nmt          |                      3 |                      1 |         1297.94  |            1.14828   |
|  4 |             19433.1 |                       6 |           5.96094 |              19.9982  | nmt          |                      2 |                      1 |          922.684 |            1.12937   |
|  5 |             26137.3 |                       4 |           3.98413 |              14.8791  | nmt          |                      3 |                      1 |          406.176 |            0.58741   |
|  6 |             80803.8 |                       1 |           1       |               4.87384 | nmt          |                      3 |                      1 |          241.773 |            0.107257  |
|  7 |             45483.5 |                       2 |           1.99735 |               8.60243 | nmt          |                      3 |                      1 |          256.441 |            0.184608  |
|  8 |             22337.5 |                      10 |           9.88312 |              17.5109  | nmt          |                      1 |                      1 |         1240.32  |            0.0695886 |
|  9 |             22243.9 |                       8 |           7.92708 |              17.651   | nmt          |                      2 |                      1 |         1167.47  |            1.12412   |
| 10 |             27031.7 |                       4 |           3.98421 |              14.4207  | nmt          |                      2 |                      1 |          400.97  |            0.56549   |
| 11 |             60297.6 |                       2 |           1.99735 |               6.49215 | nmt          |                      1 |                      1 |          350.86  |            0.134725  |
| 12 |             25363.1 |                       8 |           7.92632 |              15.2649  | nmt          |                      1 |                      1 |          673.603 |            0.968203  |
| 13 |             46724.6 |                       2 |           1.99735 |               8.4013  | nmt          |                      2 |                      1 |          264.445 |            0.165748  |
| 14 |             19057.9 |                      10 |           9.88312 |              20.3057  | nmt          |                      3 |                      1 |         1155.08  |            0.131882  |
| 15 |             19389.3 |                      10 |           9.88158 |              19.9417  | nmt          |                      2 |                      1 |         1147.28  |            0.166699  |
| 16 |            110304   |                       1 |           1       |               3.59138 | nmt          |                      1 |                      1 |          336.117 |            0.0722912 |
| 17 |             83222.8 |                       1 |           1       |               4.73843 | nmt          |                      2 |                      1 |          247.967 |            0.103627  |
+----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------+
